var,coef,se,pval,N,r2_within,mechanism,method,core
Dea,-0.0012342666302873277,0.0004610227347443188,0.0074283773114129925,28146,-0.015598191510779236,IC,BK_step1_X→Y,Dea
Dea,0.06361451541904176,0.014014672675305847,5.676430462786541e-06,28146,0.01302784571724902,IC,BK_step2_X→M,Dea
Dea,-0.001319517025793181,0.00046098016782148235,0.00420795265846885,28146,-0.016837772642666282,IC,BK_step3_X→Y|M,Dea
lnIC,0.0013401091707496901,0.00039424779694286925,0.0006770652457386284,28146,-0.016837772642666282,IC,BK_step3_M→Y|X,Dea
Breadth,-0.0014413861692722896,0.0005360868049343397,0.007177747570638937,28146,-0.01243043370060537,IC,BK_step1_X→Y,Breadth
Breadth,0.05031125418674323,0.013633000190705673,0.00022440413929913916,28146,0.012461201994869886,IC,BK_step2_X→M,Breadth
Breadth,-0.0015085005388349084,0.0005370110906637306,0.004972610805321631,28146,-0.01347059337682599,IC,BK_step3_X→Y|M,Breadth
lnIC,0.001333983233920343,0.0003951716484295218,0.0007374549707936939,28146,-0.01347059337682599,IC,BK_step3_M→Y|X,Breadth
Depth,-0.0008295846029437399,0.0004548477616653234,0.06818392187135847,28146,-0.015512052037974788,IC,BK_step1_X→Y,Depth
Depth,0.053266790263303145,0.01387647971397621,0.00012404163665458157,28146,0.01254871637877597,IC,BK_step2_X→M,Depth
Depth,-0.0009003701514819984,0.0004542124196201501,0.047461001354172305,28146,-0.016767925851898458,IC,BK_step3_X→Y|M,Depth
lnIC,0.001328887064310767,0.0003945771539673029,0.000758708385803164,28146,-0.016767925851898458,IC,BK_step3_M→Y|X,Depth
Dea,-0.0012882688453032475,0.0004494659642552893,0.004157641206861795,28739,-0.01562257962816127,Cost,BK_step1_X→Y,Dea
Dea,-0.0013539525692870412,0.0006460111677080307,0.03610453589219009,28739,-0.004415519670140755,Cost,BK_step2_X→M,Dea
Dea,-0.0011682620403290851,0.00045789618236901416,0.010736200599124057,28739,-0.021265997892582433,Cost,BK_step3_X→Y|M,Dea
cost,0.08863442316694685,0.010144069669752651,0.0,28739,-0.021265997892582433,Cost,BK_step3_M→Y|X,Dea
Breadth,-0.0014805159645426289,0.0005295826022007302,0.005184001872433619,28739,-0.012395246261995618,Cost,BK_step1_X→Y,Breadth
Breadth,-0.0007469114808429216,0.0006303426508296522,0.2360570999692324,28739,-0.015970597215561044,Cost,BK_step2_X→M,Breadth
Breadth,-0.0014140894807433985,0.0005455920322665733,0.009552069413821362,28739,-0.018101944363208666,Cost,BK_step3_X→Y|M,Breadth
cost,0.08893488117797495,0.010109427571151372,0.0,28739,-0.018101944363208666,Cost,BK_step3_M→Y|X,Breadth
Depth,-0.0008823389873933237,0.0004492511724569159,0.049539084901799146,28739,-0.01555629244872958,Cost,BK_step1_X→Y,Depth
Depth,-0.0017940180314022511,0.0006207517097171608,0.003854959462054497,28739,0.0018107738709751686,Cost,BK_step2_X→M,Depth
Depth,-0.0007231618851242891,0.0004476231239873734,0.1062026498508819,28739,-0.020884372826122988,Cost,BK_step3_X→Y|M,Depth
cost,0.08872658996889665,0.01017139335828538,0.0,28739,-0.020884372826122988,Cost,BK_step3_M→Y|X,Depth
