var,coef,se,pval,N,r2_within,mechanism,method,core,display_var
Dea_c,-0.0013180115712380597,0.0004629966813584189,0.004421347086062788,28146,-0.016504138858833395,IC,RZ_interaction,Dea,Dea_c
lnIC_c,0.001102548547082463,0.0004309172300771229,0.010515393402353856,28146,-0.016504138858833395,IC,RZ_interaction,Dea,lnIC_c
Dea_x_lnIC,-0.0003940679719762522,0.00026281066021440885,0.13377375910795508,28146,-0.016504138858833395,IC,RZ_interaction,Dea,Dea_x_lnIC
Dea_x_lnIC,-0.0003940679719762525,0.00026281066021440885,0.13377375910795464,28146,-0.016504138858833395,IC,RZ_paper_style,Dea,interaction_only
Breadth_c,-0.0015005302251335847,0.0005413291686029677,0.005576760418026794,28146,-0.013263550792139034,IC,RZ_interaction,Breadth,Breadth_c
lnIC_c,0.0011618148664274096,0.00043290127667940846,0.0072844323749734485,28146,-0.013263550792139034,IC,RZ_interaction,Breadth,lnIC_c
Breadth_x_lnIC,-0.000444451728917955,0.0003783142174645236,0.24007795813495791,28146,-0.013263550792139034,IC,RZ_interaction,Breadth,Breadth_x_lnIC
Breadth_x_lnIC,-0.000444451728917955,0.0003783142174645236,0.24007795813495791,28146,-0.013263550792139034,IC,RZ_paper_style,Breadth,interaction_only
Depth_c,-0.0008917931116104326,0.00045665443650758737,0.05084517650667064,28146,-0.016553397476609444,IC,RZ_interaction,Depth,Depth_c
lnIC_c,0.0011562763413290938,0.00042421625745435134,0.006421724644670501,28146,-0.016553397476609444,IC,RZ_interaction,Depth,lnIC_c
Depth_x_lnIC,-0.0003094273326392013,0.00026593204778116843,0.24461501188670365,28146,-0.016553397476609444,IC,RZ_interaction,Depth,Depth_x_lnIC
Depth_x_lnIC,-0.00030942733263920137,0.00026593204778116843,0.24461501188670365,28146,-0.016553397476609444,IC,RZ_paper_style,Depth,interaction_only
Dea_c,-0.0011665985736741117,0.0004582063076783615,0.010902335275345232,28739,-0.0212596238841547,Cost,RZ_interaction,Dea,Dea_c
cost_c,0.08818748296819003,0.009693943174792486,0.0,28739,-0.0212596238841547,Cost,RZ_interaction,Dea,cost_c
Dea_x_cost,-0.0015166604596915814,0.005750744563068908,0.7919880114705622,28739,-0.0212596238841547,Cost,RZ_interaction,Dea,Dea_x_cost
Dea_x_cost,-0.0015166604596915853,0.005750744563068908,0.7919880114705615,28739,-0.0212596238841547,Cost,RZ_paper_style,Dea,interaction_only
Breadth_c,-0.00141114206793654,0.0005438000013614678,0.00946578977850554,28739,-0.018168269622040878,Cost,RZ_interaction,Breadth,Breadth_c
cost_c,0.08890458008853898,0.010083749650602021,0.0,28739,-0.018168269622040878,Cost,RZ_interaction,Breadth,cost_c
Breadth_x_cost,-0.0017361168748693894,0.006472334987297545,0.7885195339550628,28739,-0.018168269622040878,Cost,RZ_interaction,Breadth,Breadth_x_cost
Breadth_x_cost,-0.0017361168748693879,0.006472334987297545,0.7885195339550628,28739,-0.018168269622040878,Cost,RZ_paper_style,Breadth,interaction_only
Depth_c,-0.0007296147348637702,0.00044855584761946475,0.10383811412715716,28739,-0.020930528020321804,Cost,RZ_interaction,Depth,Depth_c
cost_c,0.08934648531406178,0.009579578891922777,0.0,28739,-0.020930528020321804,Cost,RZ_interaction,Depth,cost_c
Depth_x_cost,0.0014569815647038314,0.00491644818197791,0.7669665827317327,28739,-0.020930528020321804,Cost,RZ_interaction,Depth,Depth_x_cost
Depth_x_cost,0.0014569815647038306,0.004916448181977909,0.7669665827317329,28739,-0.020930528020321804,Cost,RZ_paper_style,Depth,interaction_only
