检验,Dea系数,标准误,p值,N
基准回归,-0.0013**,(0.0005),0.0185,28739
缩尾res,-0.0013**,(0.0005),0.0136,28739
截尾res,-0.0015***,(0.0005),0.0021,28171
滞后一期Dea,-0.0002,(0.0006),0.7057,24143
Z-score res,-0.0239**,(0.0101),0.0185,28739
三级指标: 库存调整幅度,+0.0725***,(0.0182),0.0001,28739
三级指标: 供需偏离度,+0.0000,(0.0004),0.9348,28739
三级指标: 供应链集中度,-0.0048***,(0.0014),0.0006,28739
三级指标: 供应商稳定性,-0.0049,(0.0036),0.1686,28739
三级指标: 客户稳定性,-0.0003,(0.0030),0.9092,28739
三级指标: 盈利能力(ROA),+0.0030***,(0.0007),0.0000,28739
三级指标: 现金周转率,-0.0176,(0.0683),0.7970,28739
三级指标: 应收占比,-0.0051*,(0.0028),0.0700,28739
三级指标: 申请专利知识宽度,+0.0115***,(0.0036),0.0015,28739
三级指标: 授权专利知识宽度,+0.0080**,(0.0036),0.0263,28739
三级指标: 外部知识引用,+0.0014,(0.0083),0.8648,28739
