	(1)	(2)	(3)	(4)
VARIABLES	res	res	res	res
				
Breadth	-0.0015		-0.0018*	
	(0.0011)		(0.0010)	
IC	-0.0005	-0.0004		
	(0.0005)	(0.0004)		
Breadth_ic	-0.0005			
	(0.0004)			
lnage	-0.0113	-0.0118	-0.0124	-0.0127
	(0.0172)	(0.0172)	(0.0162)	(0.0162)
klr	-0.0038	-0.0039*	-0.0026	-0.0027
	(0.0024)	(0.0024)	(0.0022)	(0.0022)
lnsize	0.0001	-0.0001	-0.0004	-0.0005
	(0.0017)	(0.0018)	(0.0016)	(0.0016)
bsize	0.0042	0.0037	0.0029	0.0026
	(0.0059)	(0.0060)	(0.0057)	(0.0057)
dual	-0.0002	-0.0002	0.0001	0.0001
	(0.0017)	(0.0017)	(0.0016)	(0.0017)
lnrd	-0.0143	-0.0125	-0.0226	-0.0219
	(0.0251)	(0.0250)	(0.0219)	(0.0221)
indrate	0.0293	0.0281	0.0254	0.0243
	(0.0182)	(0.0183)	(0.0172)	(0.0171)
own	0.0020	0.0020	0.0019	0.0019
	(0.0020)	(0.0020)	(0.0020)	(0.0020)
lev	0.0078	0.0078	0.0089	0.0088
	(0.0061)	(0.0062)	(0.0058)	(0.0059)
Depth		-0.0009		-0.0011
		(0.0010)		(0.0010)
Depth_ic		-0.0004		
		(0.0003)		
cost			0.0109	0.0113
			(0.0198)	(0.0202)
Breadth_cost			-0.0005	
			(0.0104)	
Depth_cost				0.0030
				(0.0081)
Constant	0.4265***	0.4299***	0.4330***	0.4355***
	(0.0480)	(0.0481)	(0.0441)	(0.0443)
				
Observations	7,140	7,140	7,979	7,979
R-squared	0.7868	0.7867	0.7843	0.7841
report_constant	1	1	1	1
converged	1	1	1	1
ic	8	8	8	8
sumweights	7140	7140	7979	7979
r2_a_within	0.00276	0.00219	0.00277	0.00215
r2_a	0.728	0.728	0.724	0.724
r2_within	0.00490	0.00432	0.00468	0.00406
r2	0.787	0.787	0.784	0.784
ll_0	15833	15833	17695	17695
ll	15850	15848	17714	17712
F	1.460	1.222	1.446	1.278
rmse	0.0297	0.0297	0.0297	0.0297
mss	18.20	18.20	20.03	20.03
rss	4.932	4.935	5.510	5.513
tss_within	4.956	4.956	5.536	5.536
tss	23.13	23.13	25.54	25.54
df_m	12	12	12	12
df_r	270	270	285	285
rank	12	12	12	12
N_full	7737	7737	8632	8632
num_singletons	597	597	653	653
drop_singletons	1	1	1	1
df_a_nested	0	0	0	0
df_a_redundant	1	1	1	1
df_a_initial	1529	1529	1721	1721
df_a	1528	1528	1720	1720
N_hdfe_extended	2	2	2	2
N_hdfe	2	2	2	2
N_clust1	271	271	286	286
N_clustervars	1	1	1	1
N_clust	271	271	286	286
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
