Panel,被解释变量,解释变量,系数,标准误,p值,N
A_DEA到供应链,供应链集中度,Dea,-0.29364764787558373,0.13397165006419096,0.028399242122958634,27674
A_DEA到供应链,供应链集中度,Breadth,-0.20675176668064205,0.1352381060739781,0.12632814807866732,27674
A_DEA到供应链,供应链集中度,Depth,-0.23101433029624718,0.11691730885043485,0.0481804544273301,27674
B_供应链到Res,res,供应链集中度,-0.00014991817851263303,5.330669996561211e-05,0.004921922326549311,27674
A_DEA到供应链,客户集中度1,Dea,0.016317002357290278,0.11098617785402581,0.8831192940679575,20733
A_DEA到供应链,客户集中度1,Breadth,0.11756767415595111,0.1039886498866999,0.25824707933399305,20733
A_DEA到供应链,客户集中度1,Depth,0.012632409618289346,0.10292173563365647,0.9023160077324244,20733
B_供应链到Res,res,客户集中度1,9.530173157975209e-05,0.00010739983786701758,0.37490059471175874,20733
A_DEA到供应链,供应商集中度1,Dea,-0.09018720954599299,0.08991019312580331,0.3158362132924435,20428
A_DEA到供应链,供应商集中度1,Breadth,-0.08480121709811117,0.08289282281432372,0.3063119725397465,20428
A_DEA到供应链,供应商集中度1,Depth,-0.05541320037932813,0.10301457493054118,0.5906420858729522,20428
B_供应链到Res,res,供应商集中度1,2.5095151745449268e-05,8.821284625089275e-05,0.7760429277018701,20428
A_DEA到供应链,客户地理距离,Dea,-0.024181848673887455,0.041693270230341674,0.5619660933520896,3985
A_DEA到供应链,客户地理距离,Breadth,-0.04737753092777999,0.053830939106929855,0.3788726877689377,3985
A_DEA到供应链,客户地理距离,Depth,-0.015699151122714774,0.040907044237055726,0.7011739448512078,3985
B_供应链到Res,res,客户地理距离,0.001227917815871265,0.001018681045639812,0.22815263801112562,3985
A_DEA到供应链,供应商地理距离,Dea,0.05226740561115656,0.039722464120577214,0.18833481536872165,4330
A_DEA到供应链,供应商地理距离,Breadth,0.04596708431954102,0.04872140366210246,0.34551609251272986,4330
A_DEA到供应链,供应商地理距离,Depth,0.029364315972760065,0.04364808904202831,0.5011562333673352,4330
B_供应链到Res,res,供应商地理距离,0.0013566545111002803,0.0008960054766968647,0.1301002177614019,4330
C_交互项,res,Dea_x_供应链集中度,3.4815210092357876e-05,2.5377128904227957e-05,0.17010384941519607,27674
D_分组,供应链集中度_低组,Dea,-0.000949845814471944,0.0006761789901613758,0.16013098996487574,13837
D_分组,供应链集中度_高组,Dea,-0.00016167710425948992,0.0007804668899683022,0.835893309600108,13837
C_交互项,res,Dea_x_客户集中度1,4.5663762442716065e-05,3.7057815465227646e-05,0.2178800912009351,20733
D_分组,客户集中度1_低组,Dea,-0.0014935743487963196,0.0008297410925596933,0.07188972560672346,10367
D_分组,客户集中度1_高组,Dea,0.00014660832299189292,0.0009029247211815687,0.8710183374112788,10366
C_交互项,res,Dea_x_供应商集中度1,6.703950649039473e-05,3.882337840764939e-05,0.08422523000677495,20428
D_分组,供应商集中度1_低组,Dea,-0.00023816017317706794,0.0007000732540390455,0.7337201264115534,10214
D_分组,供应商集中度1_高组,Dea,-0.00046674919972542465,0.0009802992151311733,0.6339959176291532,10214
