	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	Disw_s	Disw_s	Disw_s	Disw_c	Disw_c	Disw_c
						
Dea	0.0449			-0.0290		
	(0.0375)			(0.0324)		
lnage	0.3991	0.3720	0.3917	0.2435	0.2600	0.2493
	(0.6003)	(0.6057)	(0.5995)	(0.4895)	(0.4840)	(0.4888)
klr	-0.1706**	-0.1725**	-0.1708**	-0.0278	-0.0288	-0.0273
	(0.0721)	(0.0721)	(0.0724)	(0.1076)	(0.1078)	(0.1072)
lnsize	-0.0376	-0.0370	-0.0342	-0.0145	-0.0131	-0.0166
	(0.0916)	(0.0905)	(0.0916)	(0.0870)	(0.0862)	(0.0886)
bsize	-0.2092	-0.2087	-0.1991	-0.0436	-0.0416	-0.0479
	(0.2850)	(0.2835)	(0.2835)	(0.3960)	(0.3949)	(0.3958)
dual	0.0266	0.0267	0.0261	0.1705**	0.1697**	0.1704**
	(0.0758)	(0.0757)	(0.0760)	(0.0826)	(0.0827)	(0.0825)
lnrd	-1.2799	-1.3033	-1.2620	-0.5251	-0.5019	-0.5362
	(1.7855)	(1.7981)	(1.7824)	(0.8562)	(0.8596)	(0.8566)
indrate	0.2620	0.2617	0.2695	0.9886	0.9992	0.9774
	(0.7929)	(0.7928)	(0.7902)	(0.9804)	(0.9785)	(0.9808)
own	0.0628	0.0624	0.0633	-0.0457	-0.0447	-0.0466
	(0.0861)	(0.0863)	(0.0861)	(0.1057)	(0.1054)	(0.1057)
lev	0.1511	0.1451	0.1420	-0.3247	-0.3227	-0.3176
	(0.2835)	(0.2841)	(0.2832)	(0.2888)	(0.2925)	(0.2903)
Breadth		0.0588			-0.0460	
		(0.0412)			(0.0383)	
Depth			0.0286			-0.0212
			(0.0377)			(0.0323)
Constant	4.7770**	4.8765**	4.8041**	4.6643**	4.5952**	4.6467**
	(2.2714)	(2.2940)	(2.2791)	(2.0057)	(1.9822)	(2.0094)
						
Observations	4,148	4,148	4,148	4,563	4,563	4,563
R-squared	0.7018	0.7019	0.7016	0.7425	0.7426	0.7425
report_constant	1	1	1	1	1	1
converged	1	1	1	1	1	1
ic	9	9	9	9	9	9
sumweights	4148	4148	4148	4563	4563	4563
r2_a_within	0.00300	0.00338	0.00248	0.00264	0.00303	0.00248
r2_a	0.614	0.614	0.614	0.661	0.661	0.661
r2_within	0.00610	0.00648	0.00558	0.00551	0.00590	0.00535
r2	0.702	0.702	0.702	0.742	0.743	0.742
ll_0	-5275	-5275	-5275	-5819	-5819	-5819
ll	-5263	-5262	-5264	-5807	-5806	-5807
F	0.895	0.943	0.874	1.020	1.027	1.015
rmse	0.979	0.979	0.979	0.991	0.991	0.991
mss	7229	7230	7227	9819	9820	9818
rss	3072	3071	3073	3405	3404	3406
tss_within	3091	3091	3091	3424	3424	3424
tss	10301	10301	10301	13224	13224	13224
df_m	10	10	10	10	10	10
df_r	266	266	266	269	269	269
rank	10	10	10	10	10	10
N_full	4646	4646	4646	5057	5057	5057
num_singletons	498	498	498	494	494	494
drop_singletons	1	1	1	1	1	1
df_a_nested	0	0	0	0	0	0
df_a_redundant	1	1	1	1	1	1
df_a_initial	933	933	933	1088	1088	1088
df_a	932	932	932	1087	1087	1087
N_hdfe_extended	2	2	2	2	2	2
N_hdfe	2	2	2	2	2	2
N_clust1	267	267	267	270	270	270
N_clustervars	1	1	1	1	1	1
N_clust	267	267	267	270	270	270
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
