	(1)	(2)	(3)
VARIABLES	res	res	res
			
Dea_count	-0.0004		
	(0.0005)		
lnage	-0.0120	-0.0121	-0.0122
	(0.0163)	(0.0164)	(0.0163)
klr	-0.0033	-0.0032	-0.0033
	(0.0022)	(0.0022)	(0.0022)
lnsize	-0.0007	-0.0007	-0.0008
	(0.0016)	(0.0016)	(0.0016)
bsize	0.0027	0.0029	0.0026
	(0.0057)	(0.0056)	(0.0057)
dual	0.0001	0.0000	0.0001
	(0.0017)	(0.0017)	(0.0017)
lnrd	-0.0191	-0.0187	-0.0197
	(0.0226)	(0.0226)	(0.0225)
indrate	0.0249	0.0257	0.0244
	(0.0169)	(0.0169)	(0.0171)
own	0.0019	0.0019	0.0019
	(0.0020)	(0.0020)	(0.0020)
lev	0.0095	0.0095*	0.0095*
	(0.0058)	(0.0057)	(0.0058)
Breadth_count		-0.0014	
		(0.0011)	
Depth_count			-0.0004
			(0.0006)
Constant	0.4344***	0.4337***	0.4353***
	(0.0445)	(0.0447)	(0.0443)
			
Observations	7,979	7,979	7,979
R-squared	0.7841	0.7842	0.7840
report_constant	1	1	1
converged	1	1	1
ic	8	8	8
sumweights	7979	7979	7979
r2_a_within	0.00230	0.00263	0.00202
r2_a	0.724	0.724	0.724
r2_within	0.00390	0.00422	0.00361
r2	0.784	0.784	0.784
ll_0	17695	17695	17695
ll	17711	17712	17710
F	1.559	1.694	1.473
rmse	0.0297	0.0297	0.0297
mss	20.02	20.03	20.02
rss	5.514	5.512	5.516
tss_within	5.536	5.536	5.536
tss	25.54	25.54	25.54
df_m	10	10	10
df_r	285	285	285
rank	10	10	10
N_full	8632	8632	8632
num_singletons	653	653	653
drop_singletons	1	1	1
df_a_nested	0	0	0
df_a_redundant	1	1	1
df_a_initial	1721	1721	1721
df_a	1720	1720	1720
N_hdfe_extended	2	2	2
N_hdfe	2	2	2
N_clust1	286	286	286
N_clustervars	1	1	1
N_clust	286	286	286
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
