	(1)	(2)	(3)	(4)
VARIABLES	res	res	res	res
				
Dea	-0.0013***			
	(0.0004)			
lnage	-0.0108***	-0.0106***	-0.0109***	-0.0106***
	(0.0014)	(0.0014)	(0.0014)	(0.0014)
dual	-0.0017*	-0.0017*	-0.0017*	-0.0017*
	(0.0010)	(0.0010)	(0.0010)	(0.0010)
lev	-0.0093**	-0.0094**	-0.0092**	-0.0094**
	(0.0043)	(0.0042)	(0.0043)	(0.0042)
Breadth		-0.0015***		-0.0013**
		(0.0005)		(0.0006)
Depth			-0.0009**	-0.0005
			(0.0004)	(0.0005)
Constant	0.6191***	0.6177***	0.6180***	0.6183***
	(0.0034)	(0.0034)	(0.0033)	(0.0034)
				
Observations	28,285	28,285	28,285	28,285
R-squared	0.5797	0.5797	0.5796	0.5797
report_constant	1	1	1	1
converged	1	1	1	1
ic	7	7	7	7
sumweights	28285	28285	28285	28285
r2_a_within	0.00523	0.00529	0.00503	0.00530
r2_a	0.506	0.506	0.506	0.506
r2_within	0.00540	0.00546	0.00520	0.00551
r2	0.580	0.580	0.580	0.580
ll_0	54660	54660	54660	54660
ll	54737	54738	54734	54739
F	22.09	18.87	20.63	16.73
rmse	0.0379	0.0379	0.0379	0.0379
mss	47.62	47.62	47.61	47.62
rss	34.53	34.53	34.54	34.53
tss_within	34.72	34.72	34.72	34.72
tss	82.15	82.15	82.15	82.15
df_m	4	4	4	5
df_r	424	424	424	424
rank	4	4	4	5
N_full	28739	28739	28739	28739
num_singletons	454	454	454	454
drop_singletons	1	1	1	1
df_a_nested	0	0	0	0
df_a_redundant	1	1	1	1
df_a_initial	4217	4217	4217	4217
df_a	4216	4216	4216	4216
N_hdfe_extended	2	2	2	2
N_hdfe	2	2	2	2
N_clust1	425	425	425	425
N_clustervars	1	1	1	1
N_clust	425	425	425	425
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
