	(1)	(2)	(3)	(4)
VARIABLES	res	res	res	res
				
Breadth	-0.0015***		-0.0014***	
	(0.0005)		(0.0005)	
IC	0.0012***	0.0012***		
	(0.0004)	(0.0004)		
Breadth_ic	-0.0004			
	(0.0004)			
lnage	-0.0100***	-0.0104***	-0.0108***	-0.0111***
	(0.0018)	(0.0018)	(0.0014)	(0.0014)
dual	-0.0018*	-0.0018*	-0.0017*	-0.0017
	(0.0011)	(0.0011)	(0.0010)	(0.0010)
lev	-0.0082*	-0.0081*	-0.0123***	-0.0122***
	(0.0043)	(0.0044)	(0.0042)	(0.0042)
Depth		-0.0009*		-0.0007
		(0.0005)		(0.0004)
Depth_ic		-0.0003		
		(0.0003)		
cost			0.0865***	0.0871***
			(0.0097)	(0.0091)
Breadth_cost			-0.0011	
			(0.0063)	
Depth_cost				0.0017
				(0.0048)
Constant	0.6092***	0.6097***	0.6119***	0.6120***
	(0.0049)	(0.0048)	(0.0034)	(0.0033)
				
Observations	27,631	27,631	28,285	28,285
R-squared	0.5768	0.5767	0.5815	0.5814
report_constant	1	1	1	1
converged	1	1	1	1
ic	7	7	7	7
sumweights	27631	27631	28285	28285
r2_a_within	0.00559	0.00530	0.00940	0.00912
r2_a	0.504	0.503	0.508	0.508
r2_within	0.00584	0.00555	0.00965	0.00937
r2	0.577	0.577	0.581	0.581
ll_0	53244	53244	54660	54660
ll	53325	53321	54797	54793
F	13.71	14.53	24.48	27.98
rmse	0.0380	0.0381	0.0378	0.0378
mss	46.46	46.45	47.77	47.76
rss	34.09	34.10	34.38	34.39
tss_within	34.29	34.29	34.72	34.72
tss	80.55	80.55	82.15	82.15
df_m	6	6	6	6
df_r	420	420	424	424
rank	6	6	6	6
N_full	28146	28146	28739	28739
num_singletons	515	515	454	454
drop_singletons	1	1	1	1
df_a_nested	0	0	0	0
df_a_redundant	1	1	1	1
df_a_initial	4073	4073	4217	4217
df_a	4072	4072	4216	4216
N_hdfe_extended	2	2	2	2
N_hdfe	2	2	2	2
N_clust1	421	421	425	425
N_clustervars	1	1	1	1
N_clust	421	421	425	425
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
