	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	res	res	res	res	res	res	res	res
								
Dea	0.0009	-0.0027**	-0.0014	-0.0040	-0.0023	-0.0013	-0.0034**	-0.0011
	(0.0013)	(0.0012)	(0.0010)	(0.0027)	(0.0019)	(0.0011)	(0.0016)	(0.0010)
lnage	0.0308	-0.0220	-0.0131	-0.0299	0.0020	-0.0248	-0.0102	-0.0080
	(0.0337)	(0.0166)	(0.0204)	(0.0338)	(0.0175)	(0.0233)	(0.0242)	(0.0181)
klr	-0.0058	-0.0025	-0.0018	-0.0091*	-0.0041	-0.0037	-0.0080**	-0.0019
	(0.0051)	(0.0025)	(0.0025)	(0.0054)	(0.0031)	(0.0038)	(0.0038)	(0.0022)
lnsize	0.0003	-0.0007	-0.0010	0.0056	-0.0008	0.0003	0.0012	-0.0020
	(0.0030)	(0.0019)	(0.0017)	(0.0047)	(0.0024)	(0.0023)	(0.0027)	(0.0020)
bsize	0.0063	0.0018	0.0062	0.0035	0.0065	-0.0058	-0.0084	0.0087
	(0.0111)	(0.0065)	(0.0070)	(0.0103)	(0.0089)	(0.0099)	(0.0093)	(0.0060)
dual	0.0021	-0.0004	-0.0002	0.0075	0.0005	0.0004	0.0013	-0.0004
	(0.0052)	(0.0016)	(0.0017)	(0.0071)	(0.0024)	(0.0029)	(0.0039)	(0.0020)
lnrd	-0.0325	-0.0160	-0.0323	0.0588	-0.0095	-0.0394	-0.0034	-0.0173
	(0.0451)	(0.0258)	(0.0262)	(0.0526)	(0.0247)	(0.0441)	(0.0471)	(0.0217)
indrate	0.0159	0.0316*	0.0500**	0.0016	0.0124	0.0280	0.0424	0.0225
	(0.0354)	(0.0186)	(0.0218)	(0.0311)	(0.0320)	(0.0297)	(0.0284)	(0.0214)
own	-0.0036	0.0033	0.0020	-0.0031	-0.0010	0.0030	0.0032	0.0007
	(0.0038)	(0.0022)	(0.0024)	(0.0031)	(0.0026)	(0.0028)	(0.0025)	(0.0028)
lev	0.0041	0.0114	0.0132*	-0.0173	-0.0017	0.0187**	0.0071	0.0125
	(0.0104)	(0.0071)	(0.0069)	(0.0139)	(0.0080)	(0.0086)	(0.0078)	(0.0078)
Constant	0.3033***	0.4664***	0.4223***	0.4757***	0.4015***	0.4803***	0.4392***	0.4222***
	(0.0987)	(0.0473)	(0.0576)	(0.1037)	(0.0530)	(0.0732)	(0.0685)	(0.0516)
								
Observations	1,916	6,057	6,229	1,522	4,373	3,369	2,133	5,827
R-squared	0.7858	0.7853	0.7866	0.8026	0.8014	0.7866	0.8090	0.7825
report_constant	1	1	1	1	1	1	1	1
converged	1	1	1	1	1	1	1	1
ic	8	8	8	8	8	9	8	8
sumweights	1916	6057	6229	1522	4373	3369	2133	5827
r2_a_within	0.00134	0.00604	0.00409	0.0136	0.00141	0.00570	0.0110	0.00127
r2_a	0.723	0.725	0.724	0.746	0.738	0.721	0.751	0.721
r2_within	0.00804	0.00813	0.00615	0.0219	0.00442	0.00954	0.0171	0.00346
r2	0.786	0.785	0.787	0.803	0.801	0.787	0.809	0.782
ll_0	4218	13477	13883	3368	9868	7518	4901	12855
ll	4226	13501	13903	3384	9877	7534	4919	12865
F	0.946	2.721	1.891	1.124	0.720	1.900	1.633	0.852
rmse	0.0303	0.0295	0.0295	0.0297	0.0290	0.0296	0.0275	0.0301
mss	4.997	15.03	15.49	4.243	11.28	8.300	5.253	14.84
rss	1.362	4.108	4.201	1.044	2.795	2.252	1.240	4.124
tss_within	1.373	4.142	4.227	1.067	2.808	2.274	1.261	4.138
tss	6.359	19.14	19.69	5.286	14.07	10.55	6.492	18.96
df_m	10	10	10	10	10	10	10	10
df_r	137	147	250	120	212	209	154	245
rank	10	10	10	10	10	10	10	10
N_full	2084	6548	6767	1662	4837	3692	2334	6298
num_singletons	168	491	538	140	464	323	201	471
drop_singletons	1	1	1	1	1	1	1	1
df_a_nested	0	0	0	0	0	0	0	0
df_a_redundant	1	1	1	1	1	1	1	1
df_a_initial	426	1312	1397	333	1049	782	487	1281
df_a	425	1311	1396	332	1048	781	486	1280
N_hdfe_extended	2	2	2	2	2	2	2	2
N_hdfe	2	2	2	2	2	2	2	2
N_clust1	138	148	251	121	213	210	155	246
N_clustervars	1	1	1	1	1	1	1	1
N_clust	138	148	251	121	213	210	155	246
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
