	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	Disw_s	Disw_s	Disw_s	Disw_c	Disw_c	Disw_c	Disw_s	Disw_s	Disw_s	Disw_c	Disw_c	Disw_c	Disw_s	Disw_s	Disw_s	Disw_c	Disw_c	Disw_c
																		
Dea	0.0449			-0.0290			0.0523			-0.0242			0.0386			-0.0230		
	(0.0375)			(0.0324)			(0.0379)			(0.0395)			(0.0394)			(0.0387)		
lnage	0.3991	0.3720	0.3917	0.2435	0.2600	0.2493	-0.1494	-0.1537	-0.1467	-0.1324	-0.1235	-0.1328	-0.1856	-0.1909	-0.1829	-0.1934	-0.1836	-0.1934
	(0.6003)	(0.6057)	(0.5995)	(0.4895)	(0.4840)	(0.4888)	(0.1975)	(0.1984)	(0.1979)	(0.1972)	(0.1981)	(0.1966)	(0.1804)	(0.1820)	(0.1808)	(0.1793)	(0.1794)	(0.1791)
klr	-0.1706**	-0.1725**	-0.1708**	-0.0278	-0.0288	-0.0273	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000						
	(0.0721)	(0.0721)	(0.0724)	(0.1076)	(0.1078)	(0.1072)	(0.0000)	(0.0000)	(0.0000)	(0.0000)	(0.0000)	(0.0000)						
lnsize	-0.0376	-0.0370	-0.0342	-0.0145	-0.0131	-0.0166	-0.1265	-0.1205	-0.1212	-0.0786	-0.0780	-0.0810						
	(0.0916)	(0.0905)	(0.0916)	(0.0870)	(0.0862)	(0.0886)	(0.0924)	(0.0934)	(0.0920)	(0.1113)	(0.1108)	(0.1109)						
bsize	-0.2092	-0.2087	-0.1991	-0.0436	-0.0416	-0.0479	0.1984	0.2084	0.2089	0.2089	0.2063	0.2047						
	(0.2850)	(0.2835)	(0.2835)	(0.3960)	(0.3949)	(0.3958)	(0.3452)	(0.3431)	(0.3459)	(0.4127)	(0.4144)	(0.4125)						
dual	0.0266	0.0267	0.0261	0.1705**	0.1697**	0.1704**	0.0211	0.0190	0.0239	0.1453	0.1467	0.1443	0.0478	0.0451	0.0490	0.1487	0.1504	0.1478
	(0.0758)	(0.0757)	(0.0760)	(0.0826)	(0.0827)	(0.0825)	(0.0928)	(0.0928)	(0.0931)	(0.0899)	(0.0901)	(0.0897)	(0.0906)	(0.0903)	(0.0910)	(0.0913)	(0.0915)	(0.0912)
lnrd	-1.2799	-1.3033	-1.2620	-0.5251	-0.5019	-0.5362	0.0082	0.0088	0.0086	0.0084	0.0083	0.0083						
	(1.7855)	(1.7981)	(1.7824)	(0.8562)	(0.8596)	(0.8566)	(0.0086)	(0.0087)	(0.0087)	(0.0103)	(0.0102)	(0.0102)						
indrate	0.2620	0.2617	0.2695	0.9886	0.9992	0.9774	3.3318	3.3306	3.3452	2.9231	2.9428	2.9106						
	(0.7929)	(0.7928)	(0.7902)	(0.9804)	(0.9785)	(0.9808)	(2.4648)	(2.4667)	(2.4691)	(3.3301)	(3.3241)	(3.3291)						
own	0.0628	0.0624	0.0633	-0.0457	-0.0447	-0.0466	-0.5634	-0.5462	-0.5596	-0.2069	-0.2178	-0.2098						
	(0.0861)	(0.0863)	(0.0861)	(0.1057)	(0.1054)	(0.1057)	(0.4663)	(0.4633)	(0.4661)	(0.4173)	(0.4131)	(0.4168)						
lev	0.1511	0.1451	0.1420	-0.3247	-0.3227	-0.3176	0.3307	0.3249	0.3144	-0.1640	-0.1696	-0.1571	0.1285	0.1297	0.1198	-0.2974	-0.3038	-0.2930
	(0.2835)	(0.2841)	(0.2832)	(0.2888)	(0.2925)	(0.2903)	(0.3461)	(0.3469)	(0.3446)	(0.3652)	(0.3669)	(0.3633)	(0.3505)	(0.3511)	(0.3490)	(0.3487)	(0.3494)	(0.3495)
Breadth		0.0588			-0.0460			0.0460			-0.0474			0.0376			-0.0475	
		(0.0412)			(0.0383)			(0.0464)			(0.0510)			(0.0467)			(0.0499)	
Depth			0.0286			-0.0212			0.0294			-0.0157			0.0145			-0.0164
			(0.0377)			(0.0323)			(0.0416)			(0.0388)			(0.0416)			(0.0386)
Constant	4.7770**	4.8765**	4.8041**	4.6643**	4.5952**	4.6467**	7.4584***	7.3492***	7.3610***	6.4633**	6.4461**	6.5084**	5.6178***	5.6600***	5.6615***	5.8313***	5.8167***	5.8124***
	(2.2714)	(2.2940)	(2.2791)	(2.0057)	(1.9822)	(2.0094)	(2.3002)	(2.3009)	(2.2983)	(2.5612)	(2.5643)	(2.5410)	(0.4161)	(0.4180)	(0.4170)	(0.4384)	(0.4290)	(0.4329)
																		
Observations	4,148	4,148	4,148	4,563	4,563	4,563	3,921	3,921	3,921	3,566	3,566	3,566	4,023	4,023	4,023	3,674	3,674	3,674
R-squared	0.7018	0.7019	0.7016	0.7425	0.7426	0.7425	0.7058	0.7057	0.7056	0.7621	0.7622	0.7620	0.6977	0.6976	0.6975	0.7646	0.7647	0.7646
report_constant	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
converged	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ic	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
sumweights	4148	4148	4148	4563	4563	4563	3921	3921	3921	3566	3566	3566	4023	4023	4023	3674	3674	3674
r2_a_within	0.00300	0.00338	0.00248	0.00264	0.00303	0.00248	0.00270	0.00235	0.00204	0.00261	0.00304	0.00249	0.000358	0.000234	-8.83e-05	0.00247	0.00292	0.00237
r2_a	0.614	0.614	0.614	0.661	0.661	0.661	0.623	0.623	0.623	0.692	0.692	0.692	0.614	0.614	0.614	0.697	0.697	0.697
r2_within	0.00610	0.00648	0.00558	0.00551	0.00590	0.00535	0.00595	0.00560	0.00529	0.00622	0.00665	0.00610	0.00162	0.00150	0.00118	0.00386	0.00432	0.00377
r2	0.702	0.702	0.702	0.742	0.743	0.742	0.706	0.706	0.706	0.762	0.762	0.762	0.698	0.698	0.698	0.765	0.765	0.765
ll_0	-5275	-5275	-5275	-5819	-5819	-5819	-5052	-5052	-5052	-4574	-4574	-4574	-5236	-5236	-5236	-4708	-4708	-4708
ll	-5263	-5262	-5264	-5807	-5806	-5807	-5041	-5041	-5042	-4563	-4562	-4563	-5232	-5233	-5233	-4701	-4700	-4701
F	0.895	0.943	0.874	1.020	1.027	1.015	0.879	0.835	0.811	0.677	0.676	0.712	0.448	0.393	0.326	1.079	1.167	1.147
rmse	0.979	0.979	0.979	0.991	0.991	0.991	0.991	0.991	0.991	0.990	0.990	0.990	1.003	1.004	1.004	0.988	0.988	0.988
mss	7229	7230	7227	9819	9820	9818	7203	7202	7201	8641	8642	8641	7327	7327	7326	9032	9033	9032
rss	3072	3071	3073	3405	3404	3406	3003	3004	3005	2698	2697	2698	3175	3175	3177	2780	2779	2780
tss_within	3091	3091	3091	3424	3424	3424	3021	3021	3021	2715	2715	2715	3180	3180	3180	2791	2791	2791
tss	10301	10301	10301	13224	13224	13224	10206	10206	10206	11339	11339	11339	10503	10503	10503	11812	11812	11812
df_m	10	10	10	10	10	10	10	10	10	10	10	10	4	4	4	4	4	4
df_r	266	266	266	269	269	269	253	253	253	241	241	241	254	254	254	243	243	243
rank	10	10	10	10	10	10	10	10	10	10	10	10	4	4	4	4	4	4
N_full	4646	4646	4646	5057	5057	5057	4330	4330	4330	3985	3985	3985	4438	4438	4438	4101	4101	4101
num_singletons	498	498	498	494	494	494	409	409	409	419	419	419	415	415	415	427	427	427
drop_singletons	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
df_a_nested	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
df_a_redundant	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
df_a_initial	933	933	933	1088	1088	1088	853	853	853	804	804	804	867	867	867	822	822	822
df_a	932	932	932	1087	1087	1087	852	852	852	803	803	803	866	866	866	821	821	821
N_hdfe_extended	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
N_hdfe	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
N_clust1	267	267	267	270	270	270	254	254	254	242	242	242	255	255	255	244	244	244
N_clustervars	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
N_clust	267	267	267	270	270	270	254	254	254	242	242	242	255	255	255	244	244	244
Robust standard errors in parentheses																		
*** p<0.01, ** p<0.05, * p<0.1																		
