	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	res	res	res	res	res	res	res	res	res	res	res	res
												
Dea	-0.0012			-0.0010			-0.0007			-0.0003		
	(0.0010)			(0.0012)			(0.0007)			(0.0008)		
lnage	-0.0337	-0.0334	-0.0333	-0.0054	-0.0050	-0.0051	-0.0088***	-0.0087***	-0.0089***	-0.0096***	-0.0095***	-0.0097***
	(0.0211)	(0.0211)	(0.0211)	(0.0236)	(0.0236)	(0.0236)	(0.0021)	(0.0021)	(0.0021)	(0.0022)	(0.0022)	(0.0022)
klr	-0.0038	-0.0038	-0.0038	-0.0046	-0.0046	-0.0046	-0.0000***	-0.0000***	-0.0000***	-0.0000**	-0.0000**	-0.0000**
	(0.0025)	(0.0025)	(0.0025)	(0.0029)	(0.0029)	(0.0029)	(0.0000)	(0.0000)	(0.0000)	(0.0000)	(0.0000)	(0.0000)
lnsize	-0.0003	-0.0004	-0.0004	0.0018	0.0017	0.0016	-0.0066***	-0.0065***	-0.0068***	-0.0077***	-0.0075***	-0.0079***
	(0.0021)	(0.0020)	(0.0021)	(0.0022)	(0.0022)	(0.0022)	(0.0016)	(0.0016)	(0.0017)	(0.0017)	(0.0017)	(0.0017)
bsize	0.0124*	0.0124*	0.0124*	0.0073	0.0071	0.0071	-0.0094	-0.0095	-0.0094	-0.0068	-0.0069	-0.0069
	(0.0068)	(0.0069)	(0.0068)	(0.0087)	(0.0087)	(0.0087)	(0.0072)	(0.0071)	(0.0072)	(0.0078)	(0.0078)	(0.0078)
dual	0.0016	0.0016	0.0015	0.0026	0.0026	0.0025	-0.0001	-0.0001	-0.0001	-0.0009	-0.0009	-0.0010
	(0.0022)	(0.0022)	(0.0022)	(0.0025)	(0.0025)	(0.0025)	(0.0015)	(0.0015)	(0.0015)	(0.0016)	(0.0016)	(0.0016)
lnrd	-0.0593*	-0.0602*	-0.0590*	-0.0231	-0.0240	-0.0233	-0.0001	-0.0001	-0.0001	0.0001	0.0001	0.0001
