	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	res	res	res	res	res	res	res	res	res
									
Dea_count	-0.0004			-0.0008**			-0.0010***		
	(0.0005)			(0.0003)			(0.0003)		
lnage	-0.0120	-0.0121	-0.0122	-0.0100***	-0.0100***	-0.0100***	-0.0106***	-0.0107***	-0.0107***
	(0.0163)	(0.0164)	(0.0163)	(0.0015)	(0.0015)	(0.0015)	(0.0014)	(0.0014)	(0.0014)
klr	-0.0033	-0.0032	-0.0033	-0.0000***	-0.0000***	-0.0000***			
	(0.0022)	(0.0022)	(0.0022)	(0.0000)	(0.0000)	(0.0000)			
lnsize	-0.0007	-0.0007	-0.0008	-0.0053***	-0.0054***	-0.0054***			
	(0.0016)	(0.0016)	(0.0016)	(0.0012)	(0.0012)	(0.0012)			
bsize	0.0027	0.0029	0.0026	-0.0051	-0.0050	-0.0051			
	(0.0057)	(0.0056)	(0.0057)	(0.0051)	(0.0051)	(0.0051)			
dual	0.0001	0.0000	0.0001	-0.0015	-0.0015	-0.0015	-0.0017*	-0.0018*	-0.0017*
	(0.0017)	(0.0017)	(0.0017)	(0.0011)	(0.0011)	(0.0011)	(0.0010)	(0.0010)	(0.0010)
lnrd	-0.0191	-0.0187	-0.0197	-0.0001	-0.0001	-0.0001			
	(0.0226)	(0.0226)	(0.0225)	(0.0001)	(0.0001)	(0.0001)			
indrate	0.0249	0.0257	0.0244	-0.0196	-0.0189	-0.0200			
	(0.0169)	(0.0169)	(0.0171)	(0.0342)	(0.0343)	(0.0341)			
own	0.0019	0.0019	0.0019	0.0029	0.0029	0.0030			
	(0.0020)	(0.0020)	(0.0020)	(0.0066)	(0.0066)	(0.0065)			
lev	0.0095	0.0095*	0.0095*	-0.0052	-0.0052	-0.0051	-0.0093**	-0.0094**	-0.0092**
	(0.0058)	(0.0057)	(0.0058)	(0.0043)	(0.0043)	(0.0043)	(0.0042)	(0.0042)	(0.0043)
Breadth_count		-0.0014			-0.0015			-0.0022**	
		(0.0011)			(0.0009)			(0.0009)	
Depth_count			-0.0004			-0.0008**			-0.0010***
			(0.0006)			(0.0004)			(0.0004)
Constant	0.4344***	0.4337***	0.4353***	0.7499***	0.7502***	0.7507***	0.6172***	0.6169***	0.6170***
	(0.0445)	(0.0447)	(0.0443)	(0.0275)	(0.0273)	(0.0274)	(0.0033)	(0.0034)	(0.0033)
									
Observations	7,979	7,979	7,979	27,289	27,289	27,289	28,285	28,285	28,285
R-squared	0.7841	0.7842	0.7840	0.5838	0.5838	0.5838	0.5797	0.5797	0.5796
report_constant	1	1	1	1	1	1	1	1	1
converged	1	1	1	1	1	1	1	1	1
ic	8	8	8	7	7	7	7	7	7
sumweights	7979	7979	7979	27289	27289	27289	28285	28285	28285
r2_a_within	0.00230	0.00263	0.00202	0.0108	0.0107	0.0108	0.00527	0.00519	0.00513
r2_a	0.724	0.724	0.724	0.510	0.510	0.510	0.506	0.506	0.506
r2_within	0.00390	0.00422	0.00361	0.0113	0.0112	0.0112	0.00544	0.00536	0.00530
r2	0.784	0.784	0.784	0.584	0.584	0.584	0.580	0.580	0.580
ll_0	17695	17695	17695	52749	52749	52749	54660	54660	54660
ll	17711	17712	17710	52903	52902	52902	54738	54736	54735
F	1.559	1.694	1.473	11.68	11.17	12.46	22.43	19.09	22.75
rmse	0.0297	0.0297	0.0297	0.0378	0.0378	0.0378	0.0379	0.0379	0.0379
mss	20.02	20.03	20.02	46.41	46.41	46.41	47.62	47.62	47.62
rss	5.514	5.512	5.516	33.09	33.09	33.09	34.53	34.53	34.53
tss_within	5.536	5.536	5.536	33.46	33.46	33.46	34.72	34.72	34.72
tss	25.54	25.54	25.54	79.50	79.50	79.50	82.15	82.15	82.15
df_m	10	10	10	10	10	10	4	4	4
df_r	285	285	285	422	422	422	424	424	424
rank	10	10	10	10	10	10	4	4	4
N_full	8632	8632	8632	27683	27683	27683	28739	28739	28739
num_singletons	653	653	653	394	394	394	454	454	454
drop_singletons	1	1	1	1	1	1	1	1	1
df_a_nested	0	0	0	0	0	0	0	0	0
df_a_redundant	1	1	1	1	1	1	1	1	1
df_a_initial	1721	1721	1721	4112	4112	4112	4217	4217	4217
df_a	1720	1720	1720	4111	4111	4111	4216	4216	4216
N_hdfe_extended	2	2	2	2	2	2	2	2	2
N_hdfe	2	2	2	2	2	2	2	2	2
N_clust1	286	286	286	423	423	423	425	425	425
N_clustervars	1	1	1	1	1	1	1	1	1
N_clust	286	286	286	423	423	423	425	425	425
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
